title,slug,year,coords,theme,era,region,notable_figures,visuals,prompt,image_url,difficulty,source,id,country,city,notable_location,era_id,theme_id,caption,wiki_url,broad_era
Battle of Hastings,battle-of-hastings,1066,"[50.9116, 0.4875]",wars & battles,Medieval Europe,Europe,,Norman cavalry charging uphill; shield wall of Anglo-Saxon warriors; flags and medieval armor,"A highly detailed, photo-realistic image of the Battle of Hastings as it might have appeared in 1066. The scene includes Norman cavalry charging uphill against a shield wall of Anglo-Saxon warriors. They wear chainmail, conical helmets, and carry round shields with heraldic symbols. No gunpowder weapons, no modern flags. The landscape shows open countryside under an overcast sky. Authentic 11th-century military detail and natural terrain. Depicts Norman cavalry with kite shields and chainmail attacking uphill against a dense Anglo-Saxon shield wall. The battlefield is an open slope near a wooden palisade. No castles or fantasy elements. Clearly 11th-century. No text or modern artifacts. Realistic proportions, cinematic style. Framed in landscape orientation. Composition balanced for horizontal display.",/images/battle-of-hastings.jpg,4,AI-generated metadata from historical context,54343b03-1102-4940-b119-9562efb706a6,England,Hastings,Battlefield,18,1,"The Battle of Hastings marked the beginning of Norman rule in England, fundamentally altering the English culture, language, and governance structure, as William the Conqueror defeated King Harold II's forces.",https://en.wikipedia.org/wiki/Battle_of_Hastings,5. Middle Ages
Leonardo da Vinci Paints the Mona Lisa,da-vinci-paints-mona-lisa,1504,"[43.7734190093247, 11.2560039288049]",art & culture,Age of Exploration,Europe,,Leonardo da Vinci in Renaissance robes with a brush; Lisa Gherardini seated in elegant dress; wooden workbench with oil paints and parchment sketches; arched studio windows letting in golden light,"A highly detailed, photo-realistic image of Leonardo da Vinci painting the Mona Lisa in his Florentine workshop around 1504. The scene includes Leonardo with brush in hand, wearing Renaissance robes, working on the portrait of Lisa Gherardini seated calmly before him. Sunlight pours through arched windows, casting soft light on wooden furniture, parchment sketches, and oil pigments. The setting reflects authentic 16th-century Italian studio atmosphere. No text or modern artifacts. Realistic proportions, cinematic style. Framed in landscape orientation. Composition balanced for horizontal display.",/images/da-vinci-paints-mona-lisa.jpg,2,AI-generated metadata from historical context,87b329c5-6d08-4820-a535-7e6337773803,Italy,Florence,,20,10,"Leonardo da Vinci's painting of the Mona Lisa, completed in 1504, is renowned for its enigmatic expression and pioneering use of sfumato, a technique that creates a soft transition between colors and tones, enhancing the lifelike quality of the portrait.",https://en.wikipedia.org/wiki/Mona_Lisa,6. Early Modern Era
Live Aid Concert,live-aid-concert,1985,"[51.556, -0.279]",art & culture,Cold War Europe,Europe,"Bob Geldof, Freddie Mercury, David Bowie, Elton John, Phil Collins",massive crowd of concertgoers; performers on stage; iconic Wembley Stadium architecture; vibrant stage lighting; large video screens,"A highly detailed, photo-realistic image of Live Aid Concert as it might have appeared at the time. The scene includes massive crowd of concertgoers, performers on stage, iconic Wembley Stadium architecture, vibrant stage lighting, large video screens, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/live-aid-concert.jpg,3,AI-generated based on historical records,2b71c318-c482-4696-b4e2-0041b48126b2,United Kingdom,London,Wembley Stadium,25,10,"The Live Aid Concert, held on July 13, 1985, was a dual-venue benefit concert organized to raise funds for famine relief in Ethiopia, featuring performances by iconic artists like Queen, U2, and David Bowie, and was watched by an estimated 1.9 billion people across 150 nations.",https://en.wikipedia.org/wiki/Live_Aid,8. 20th Century
The First Eurovision Song Contest,the-first-eurovision-song-contest,1956,"[46.2044, 6.1432]",art & culture,Cold War Europe,Europe,Lys Assia,a grand stage with performers; audience in formal 1950s attire; vintage microphones; orchestra in the background; 1950s television cameras,"A highly detailed, photo-realistic image of The First Eurovision Song Contest as it might have appeared at the time. The scene includes a grand stage with performers, audience in formal 1950s attire, vintage microphones, orchestra in the background, and 1950s television cameras, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-first-eurovision-song-contest.jpg,3,AI-generated based on historical records,e569b3c8-843c-46e0-8590-1ad95d38acb1,Switzerland,Lugano,Teatro Kursaal,25,10,"The inaugural Eurovision Song Contest in 1956 marked the beginning of a cultural phenomenon, featuring seven countries and showcasing the first-ever winning song 'Refrain' by Lys Assia from Switzerland, setting the stage for an annual celebration of music and unity in post-war Europe.",https://en.wikipedia.org/wiki/Eurovision_Song_Contest_1956,8. 20th Century
The Fall of the Berlin Wall Concert (Pink Floyd’s 'The Wall'),the-fall-of-the-berlin-wall-concert-pink-floyd-s-the-wall,1990,"[52.5074, 13.3904]",art & culture,Cold War Europe,Europe,Roger Waters,massive stage setup; crowd of thousands; Berlin Wall remnants; colorful lighting effects; musicians performing,"A highly detailed, photo-realistic image of The Fall of the Berlin Wall Concert (Pink Floyd’s 'The Wall') as it might have appeared at the time. The scene includes a massive stage setup, crowd of thousands, Berlin Wall remnants, colorful lighting effects, musicians performing, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-fall-of-the-berlin-wall-concert-pink-floyd-s-the-wall.jpg,3,AI-generated based on historical records,e21146dc-1d75-41ee-a4fa-d938a5fcfcd1,Germany,Berlin,Potsdamer Platz,25,10,"The Fall of the Berlin Wall Concert, featuring Pink Floyd's 'The Wall', was a monumental live performance held on July 21, 1990, at Potsdamer Platz, Berlin, symbolizing the reunification of Germany and the end of the Cold War, with Roger Waters leading an ensemble of musicians in a historic celebration of freedom and unity.",https://en.wikipedia.org/wiki/The_Wall_%E2%80%93_Live_in_Berlin,8. 20th Century
The Battle of the Bulge,the-battle-of-the-bulge,1944,"[50.0, 6.0]",wars & battles,World War II,Europe,"Dwight D. Eisenhower, George S. Patton, Adolf Hitler, Bernard Montgomery",snow-covered Ardennes forest; WWII soldiers in winter uniforms; tanks and military vehicles; artillery fire; smoke rising from battle,"A highly detailed, photo-realistic image of The Battle of the Bulge as it might have appeared at the time. The scene includes snow-covered Ardennes forest, WWII soldiers in winter uniforms, tanks and military vehicles, artillery fire, and smoke rising from battle, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-battle-of-the-bulge.jpg,3,AI-generated based on historical records,df65ede0-0ad9-457a-801d-e0b40619c035,Belgium,,Ardennes,24,1,"The Battle of the Bulge was a major German offensive campaign launched through the densely forested Ardennes region, marking the last significant offensive by the Axis powers on the Western Front.",https://en.wikipedia.org/wiki/Battle_of_the_Bulge,7. Industrial Age
The fall of the Soviet Union,the-fall-of-the-soviet-union,1991,"[55.7558, 37.6176]",foundational political moments,European Union Era,Europe,"Mikhail Gorbachev,Boris Yeltsin,George H. W. Bush",crowds in Red Square; Soviet flags being lowered; politicians in suits; Moscow skyline; Kremlin walls,"A highly detailed, photo-realistic image of The fall of the Soviet Union as it might have appeared at the time. The scene includes crowds in Red Square, Soviet flags being lowered, politicians in suits, Moscow skyline, Kremlin walls, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-fall-of-the-soviet-union.jpg,3,AI-generated based on historical records,363ee826-bb40-42ae-8e3d-1a3d81b8676c,Russia,Moscow,Red Square,26,2,"The fall of the Soviet Union in 1991 marked the end of the Cold War era, leading to the independence of 15 republics and a significant shift in global power dynamics. This dissolution was accelerated by economic struggles, political reforms, and a failed coup attempt against Mikhail Gorbachev.",https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union,8. 20th Century
The first performance of Hamilton on Broadway,the-first-performance-of-hamilton-on-broadway,2015,"[40.759, -73.9845]",art & culture,Modern United States & Canada,Americas,"Lin-Manuel Miranda, Leslie Odom Jr., Phillipa Soo",a bustling theater audience; the Richard Rodgers Theatre marquee; actors in period costumes on stage; the vibrant lights of Broadway; the intricate set design of Hamilton,"A highly detailed, photo-realistic image of The first performance of Hamilton on Broadway as it might have appeared at the time. The scene includes a bustling theater audience, the Richard Rodgers Theatre marquee, actors in period costumes on stage, the vibrant lights of Broadway, the intricate set design of Hamilton, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-first-performance-of-hamilton-on-broadway.jpg,3,AI-generated based on historical records,cb85c49b-4580-4432-8792-7fc650445242,United States,New York City,Richard Rodgers Theatre,201,10,"The first performance of 'Hamilton' on Broadway marked a revolutionary moment in theater, blending hip-hop with American history and featuring a diverse cast that redefined the portrayal of the Founding Fathers.",https://en.wikipedia.org/wiki/Hamilton_(musical),9. 21st Century
The signing of the Treaty of Versailles ending World War I,the-signing-of-the-treaty-of-versailles-ending-world-war-i,1919,"[48.8049, 2.1204]",diplomacy & international relations,Interwar Period,Europe,"Georges Clemenceau, Woodrow Wilson, David Lloyd George, Vittorio Emanuele Orlando",delegates in formal attire; large ornate table with documents; grand hall with chandeliers; stained glass windows; marble statues,"A highly detailed, photo-realistic image of The signing of the Treaty of Versailles ending World War I as it might have appeared at the time. The scene includes delegates in formal attire, large ornate table with documents, grand hall with chandeliers, stained glass windows, marble statues, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-signing-of-the-treaty-of-versailles-ending-world-war-i.jpg,3,AI-generated based on historical records,9760b184-e289-4311-bd51-8994e20bf957,France,Versailles,Palace of Versailles,23,3,"The Treaty of Versailles, signed in the Hall of Mirrors at the Palace of Versailles, imposed heavy reparations and territorial losses on Germany, setting the stage for economic hardship and political instability in the interwar period.",https://en.wikipedia.org/wiki/Treaty_of_Versailles,7. Industrial Age
The crowning of Charlemagne as Holy Roman Emperor,the-crowning-of-charlemagne-as-holy-roman-emperor,800,"[41.9029, 12.4534]",royalty & coronations,Medieval Europe,Europe,"Charlemagne, Pope Leo III",Charlemagne in regal attire; Pope Leo III placing the crown; interior of St. Peter's Basilica; medieval courtiers; ornate throne,"A highly detailed, photo-realistic image of The crowning of Charlemagne as Holy Roman Emperor as it might have appeared at the time. The scene includes Charlemagne in regal attire, Pope Leo III placing the crown, interior of St. Peter's Basilica, medieval courtiers, ornate throne, depicted with authentic clothing and technology from the era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-crowning-of-charlemagne-as-holy-roman-emperor.jpg,3,AI-generated based on historical records,1f34584b-6b31-4c89-81f7-4578467da221,Italy,Rome,St. Peter's Basilica,18,11,"On Christmas Day in the year 800, Pope Leo III crowned Charlemagne as Holy Roman Emperor in St. Peter's Basilica, a pivotal moment that marked the fusion of Roman, Christian, and Germanic elements, laying the foundation for the medieval European political landscape.",https://en.wikipedia.org/wiki/Coronation_of_Charlemagne,5. Middle Ages
The discovery of Tutankhamun's tomb by Howard Carter,the-discovery-of-tutankhamun-s-tomb-by-howard-carter,1922,"[25.7402, 32.6014]",exploration & discovery,Modern Egypt,Africa,"Howard Carter,Lord Carnarvon",Howard Carter examining the tomb; ancient Egyptian artifacts; the entrance to the tomb; desert landscape of the Valley of the Kings; archaeological tools from the 1920s,"A highly detailed, photo-realistic image of The discovery of Tutankhamun's tomb by Howard Carter as it might have appeared at the time. The scene includes Howard Carter examining the tomb, ancient Egyptian artifacts, the entrance to the tomb, desert landscape of the Valley of the Kings, archaeological tools from the 1920s, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-discovery-of-tutankhamun-s-tomb-by-howard-carter.jpg,3,AI-generated based on historical records,459a1a37-6d4c-4d51-a974-13d6e4590bde,Egypt,,Valley of the Kings,5,9,"The discovery of Tutankhamun's tomb by Howard Carter in 1922 was a pivotal moment in archaeology, revealing a nearly intact royal burial and sparking a global fascination with ancient Egypt that continues to this day. The tomb's treasures, including the iconic golden mask, provided invaluable insights into the wealth and artistry of the New Kingdom period.",https://en.wikipedia.org/wiki/Tutankhamun,7. Industrial Age
Charlotte Perriand & Le Corbusier Design Iconic Furniture,charlotte-perriand-le-corbusier-design-collaboration,1929,"[48.8437539931515, 2.251414474438]",art & culture,Interwar Period,Europe,,Charlotte Perriand assembling tubular steel frame; Le Corbusier reviewing sketches with a pipe in hand; LC4 Chaise Longue and modernist chairs in a minimalist studio; sunlight through a tall atelier window with Bauhaus-era tools,"A highly detailed, photo-realistic image of Charlotte Perriand collaborating with Le Corbusier in a Paris studio in 1929, designing iconic modernist furniture. The scene includes Charlotte Perriand in workwear, adjusting a tubular steel frame beside the LC4 Chaise Longue, while Le Corbusier reviews design sketches with a pipe in hand. Their atelier is minimalist, filled with mid-century modern design tools, leather upholstery, and metalworking equipment. Sunlight streams through tall industrial windows. Authentic 1920s clothing, furniture, and atmosphere. No modern artifacts. Cinematic proportions and realistic style. Framed in landscape orientation. Composition balanced for horizontal display.",/images/charlotte-perriand-le-corbusier-design-collaboration.jpg,3,TimeGuessr AI Event Generator,f58a7edf-b41b-4ae9-be36-44154d77cd7c,France,Paris,Le Corbusier workshop,23,10,"In 1929, Charlotte Perriand joined forces with Le Corbusier and Pierre Jeanneret to design a series of revolutionary furniture pieces, including the iconic LC4 chaise longue, which combined modernist aesthetics with functional comfort, challenging traditional furniture design norms.",https://en.wikipedia.org/wiki/Charlotte_Perriand,7. Industrial Age
The founding of the University of Bologna,the-founding-of-the-university-of-bologna,1088,"[44.4949, 11.3426]",art & culture,Medieval Europe,Europe,Irnerius,medieval scholars in discussion; ancient manuscripts and scrolls; a lecture in a medieval classroom; students in traditional medieval attire; the architecture of early university buildings,"A highly detailed, photo-realistic image of The founding of the University of Bologna as it might have appeared at the time. The scene includes medieval scholars in discussion, ancient manuscripts and scrolls, a lecture in a medieval classroom, students in traditional medieval attire, the architecture of early university buildings, depicted with authentic clothing and technology from the era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-founding-of-the-university-of-bologna.jpg,3,AI-generated based on historical records,122ba98a-f493-4e9b-a19a-366ccbc1b4da,Italy,Bologna,University of Bologna,18,10,"The University of Bologna, established in 1088, is recognized as the oldest university in continuous operation, setting a precedent for higher education institutions worldwide and pioneering the concept of academic freedom and autonomy.",https://en.wikipedia.org/wiki/University_of_Bologna,5. Middle Ages
Construction of the Great Wall of China,construction-of-great-wall,-220,"[40.4319, 116.5704]",architecture & engineering,Classical China,Asia,,workers lifting stones; unfinished wall stretching into hills; guards in ancient Chinese armor,"A highly detailed, photo-realistic image of the Construction of the Great Wall of China as it might have appeared at the time. The scene includes workers lifting stones and stacking them along an unfinished wall snaking through the hills, during the Qin Dynasty in 220 BCE, with workers in ancient Chinese robes and soldiers in early lamellar armor. The unfinished wall is built of earth and stone, with simple wooden scaffolds. No modern elements or later architecture styles. Framed in landscape orientation. Atmospheric lighting from the rising sun. No text or modern artifacts. Realistic proportions, cinematic style.",/images/construction-of-great-wall.jpg,3,AI-generated metadata from historical context,29af6c45-5108-48be-a57e-c668ab10a8d1,China,,Great Wall,36,8,"The construction of the Great Wall of China, initiated by Emperor Qin Shi Huang, was not only a defensive structure but also a means to unify various warring states and consolidate the emperor's power, symbolizing the strength and unity of the newly formed Qin Dynasty.",https://en.wikipedia.org/wiki/Great_Wall_of_China,4. Ancient World
The Battle of Leipzig,the-battle-of-leipzig,1813,"[51.3397, 12.3731]",wars & battles,Industrial Revolution,Europe,"Napoleon Bonaparte, Tsar Alexander I, King Frederick William III, Prince Karl Schwarzenberg",vast battlefield; Napoleonic soldiers; cavalry charge; smoke from cannon fire; city of Leipzig in the background,"A highly detailed, photo-realistic image of The Battle of Leipzig as it might have appeared at the time. The scene includes vast battlefield, Napoleonic soldiers, cavalry charge, smoke from cannon fire, city of Leipzig in the background, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-battle-of-leipzig.jpg,3,AI-generated based on historical records,2a6439e1-6838-47fc-ab72-f8708830d1bd,Germany,Leipzig,Leipzig,21,1,"The Battle of Leipzig, also known as the Battle of Nations, was a decisive conflict in the Napoleonic Wars, marking a turning point against Napoleon's dominance in Europe.",https://en.wikipedia.org/wiki/Battle_of_Leipzig,7. Industrial Age
Battle of Verdun,battle-of-verdun,1916,"[49.1575, 5.3844]",wars & battles,World War I,Europe,,French soldiers in muddy trenches; explosions in the distance; barbed wire and cratered battlefield; clouds of smoke under overcast sky,"A highly detailed, photo-realistic image of the Battle of Verdun as it might have appeared in 1916. The scene includes exhausted French soldiers in “bleu horizon” uniforms entrenched in mud-soaked foxholes near the ruins of Fort Douaumont, with twisted barbed wire in the foreground and cratered terrain stretching into the smoky distance. Massive artillery shells explode across a scorched landscape beneath a grey, overcast sky. Narrow-gauge supply tracks and makeshift shelters hint at the prolonged nature of the battle. The devastation is immense, with burned trees and collapsed stonework scattered across the Meuse sector. Authentic early 20th-century French military detail. No modern artifacts or text. Realistic proportions, cinematic style. Framed in landscape orientation. Composition balanced for horizontal display.",/images/battle-of-verdun.jpg,3,AI-generated metadata from historical context,abe9e9d7-d4e1-4577-a155-d60a313c75a8,France,Verdun,Fort Douaumont,22,1,"The Battle of Verdun, one of the longest and most grueling engagements of World War I, saw French and German forces locked in a brutal stalemate, with the French rallying around the cry 'They shall not pass' to defend their homeland at all costs.",https://en.wikipedia.org/wiki/Battle_of_Verdun,7. Industrial Age
"The launch of Sputnik 1, the first artificial satellite, by the Soviet Union",the-launch-of-sputnik-1-the-first-artificial-satellite-by-the-soviet-union,1957,"[45.920278, 63.342222]",scientific & technological breakthroughs,Cold War Europe,Europe,Sergei Korolev,Sputnik 1 satellite in space; Baikonur Cosmodrome launch pad; Soviet scientists and engineers; 1950s Soviet technology and equipment; Night sky with stars,"A highly detailed, photo-realistic image of The launch of Sputnik 1, the first artificial satellite, by the Soviet Union as it might have appeared at the time. The scene includes Sputnik 1 satellite in space, Baikonur Cosmodrome launch pad, Soviet scientists and engineers, 1950s Soviet technology and equipment, Night sky with stars, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-launch-of-sputnik-1-the-first-artificial-satellite-by-the-soviet-union.jpg,3,AI-generated based on historical records,9083b2df-f6aa-4c4e-9a1c-f6b8c2815d90,Soviet Union,,Baikonur Cosmodrome,25,6,"Sputnik 1's launch on October 4, 1957, marked the beginning of the space age and triggered the space race between the United States and the Soviet Union, significantly impacting global technological and political landscapes.",https://en.wikipedia.org/wiki/Sputnik_1,8. 20th Century
Simone de Beauvoir publishes The Second Sex,simone-de-beauvoir-publishes-the-second-sex,1949,"[48.8566, 2.3522]",art & culture,Cold War Europe,Europe,Simone de Beauvoir,Simone de Beauvoir writing at a desk; a stack of books and papers; a Parisian apartment interior; a window view of Paris; mid-20th century typewriter,"A highly detailed, photo-realistic image of Simone de Beauvoir publishes The Second Sex as it might have appeared at the time. The scene includes Simone de Beauvoir writing at a desk, a stack of books and papers, a Parisian apartment interior, a window view of Paris, and a mid-20th century typewriter, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/simone-de-beauvoir-publishes-the-second-sex.jpg,3,AI-generated based on historical records,3cfe2b9f-d1a3-4147-abcc-89980ca26463,France,Paris,,25,10,"In 1949, Simone de Beauvoir challenged societal norms with her groundbreaking work, 'The Second Sex', sparking discussions on feminism and gender roles.",https://en.wikipedia.org/wiki/The_Second_Sex,8. 20th Century
Olympe de Gouges publishes the Declaration of the Rights of Woman,olympe-de-gouges-publishes-the-declaration-of-the-rights-of-woman,1791,"[48.8566, 2.3522]",social movements & protests,Industrial Revolution,Europe,Olympe de Gouges,Olympe de Gouges writing at a desk; a stack of papers with the Declaration; a window view of 18th-century Paris; period-appropriate furniture; candles providing light,"A highly detailed, photo-realistic image of Olympe de Gouges publishes the Declaration of the Rights of Woman as it might have appeared at the time. The scene includes Olympe de Gouges writing at a desk, a stack of papers with the Declaration, a window view of 18th-century Paris, period-appropriate furniture, candles providing light, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/olympe-de-gouges-publishes-the-declaration-of-the-rights-of-woman.jpg,3,AI-generated based on historical records,66177fc5-94e8-40b2-ac49-10af78ef66d3,France,Paris,,21,5,"In 1791, Olympe de Gouges boldly challenged societal norms by publishing the Declaration of the Rights of Woman, advocating for gender equality during the French Revolution.",https://en.wikipedia.org/wiki/Declaration_of_the_Rights_of_Woman_and_of_the_Female_Citizen,6. Early Modern Era
Mary Wollstonecraft writes A Vindication of the Rights of Woman,mary-wollstonecraft-writes-a-vindication-of-the-rights-of-woman,1792,"[51.5074, -0.1278]",art & culture,Industrial Revolution,Europe,Mary Wollstonecraft,Mary Wollstonecraft writing at a desk; 18th-century London interior; quill and ink; candles providing light; books and papers scattered,"A highly detailed, photo-realistic image of Mary Wollstonecraft writing A Vindication of the Rights of Woman as it might have appeared at the time. The scene includes Mary Wollstonecraft writing at a desk, 18th-century London interior, quill and ink, candles providing light, books and papers scattered, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/mary-wollstonecraft-writes-a-vindication-of-the-rights-of-woman.jpg,3,AI-generated based on historical records,9a6ebc20-02cd-4c35-b1fa-03c5f47289c8,United Kingdom,London,,21,10,"Mary Wollstonecraft's groundbreaking work laid the foundation for feminist thought, advocating for women's rights and education in the late 18th century.",https://en.wikipedia.org/wiki/A_Vindication_of_the_Rights_of_Woman,6. Early Modern Era
The discovery of the Rosetta Stone by French soldiers,the-discovery-of-the-rosetta-stone-by-french-soldiers,1799,"[31.2089, 29.9092]",exploration & discovery,Ottoman Egypt,Africa,Pierre-François Bouchard,French soldiers in 18th-century military uniforms; the Rosetta Stone partially buried in the sand; Egyptian landscape with palm trees; archaeological tools of the era; a distant view of the Nile River,"A highly detailed, photo-realistic image of The discovery of the Rosetta Stone by French soldiers as it might have appeared at the time. The scene includes French soldiers in 18th-century military uniforms, the Rosetta Stone partially buried in the sand, Egyptian landscape with palm trees, archaeological tools of the era, a distant view of the Nile River, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-discovery-of-the-rosetta-stone-by-french-soldiers.jpg,3,AI-generated based on historical records,8456089d-33fb-49f4-a744-e15b9086a149,Egypt,Rashid,Fort Julien,4,9,"The Rosetta Stone, discovered by French soldiers in 1799 during Napoleon's campaign in Egypt, became the key to deciphering Egyptian hieroglyphs, bridging ancient and modern understanding of Egyptian civilization.",https://en.wikipedia.org/wiki/Rosetta_Stone,6. Early Modern Era
Florence Nightingale transforms battlefield nursing during the Crimean War,florence-nightingale-transforms-battlefield-nursing-during-the-crimean-war,1854,"[44.6167, 33.525]",wars & battles,Industrial Revolution,Europe,Florence Nightingale,Florence Nightingale attending to wounded soldiers; a makeshift hospital ward; nurses in period-appropriate uniforms; Crimean War battlefield setting; medical supplies of the era,"A highly detailed, photo-realistic image of Florence Nightingale transforms battlefield nursing during the Crimean War as it might have appeared at the time. The scene includes Florence Nightingale attending to wounded soldiers, a makeshift hospital ward, nurses in period-appropriate uniforms, a Crimean War battlefield setting, and medical supplies of the era, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/florence-nightingale-transforms-battlefield-nursing-during-the-crimean-war.jpg,3,AI-generated based on historical records,da735a00-15d8-45fe-9cb8-792ec27e0a39,Ukraine,Scutari,Barrack Hospital,21,1,"Florence Nightingale's pioneering work during the Crimean War laid the foundation for modern nursing practices, transforming battlefield care and significantly reducing mortality rates.",https://en.wikipedia.org/wiki/Florence_Nightingale,7. Industrial Age
Marie Curie becomes the first woman to win a Nobel Prize,marie-curie-becomes-the-first-woman-to-win-a-nobel-prize,1903,"[59.3293, 18.0686]",scientific & technological breakthroughs,Industrial Revolution,Europe,"Marie Curie, Pierre Curie, Henri Becquerel",Marie Curie receiving the Nobel Prize; early 20th-century scientific laboratory; audience in formal attire; Nobel Prize medal; Stockholm City Hall,"A highly detailed, photo-realistic image of Marie Curie becomes the first woman to win a Nobel Prize as it might have appeared at the time. The scene includes Marie Curie receiving the Nobel Prize, early 20th-century scientific laboratory, audience in formal attire, Nobel Prize medal, Stockholm City Hall, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/marie-curie-becomes-the-first-woman-to-win-a-nobel-prize.jpg,3,AI-generated based on historical records,40b31a63-778f-4441-a24b-9c479f646cc1,Sweden,Stockholm,Stockholm City Hall,21,6,"In 1903, Marie Curie shattered glass ceilings by becoming the first woman to win a Nobel Prize, sharing the Physics award with her husband Pierre Curie and Henri Becquerel for their work on radioactivity.",https://en.wikipedia.org/wiki/Marie_Curie,7. Industrial Age
Discovery of Penicillin,discovery-of-penicillin,1928,"[51.5074, -0.1278]",scientific & technological breakthroughs,Interwar Period,Europe,Alexander Fleming,laboratory setting; Petri dishes with mold; scientist examining samples; microscope; medical breakthrough illustration,"A detailed illustration of Alexander Fleming in a 1920s laboratory, surrounded by Petri dishes with mold, examining samples under a microscope, representing the discovery of penicillin.",/images/discovery-of-penicillin.jpg,3,AI-generated based on historical records,e53b383b-34ed-479b-9d96-9a74453cfc0a,United Kingdom,London,St. Mary's Hospital,23,6,"The discovery of penicillin by Alexander Fleming in 1928 revolutionized medicine by introducing the first true antibiotic, which led to the treatment of previously incurable bacterial infections and laid the foundation for modern antibiotics.",https://en.wikipedia.org/wiki/Penicillin,7. Industrial Age
Women gain the right to vote in the United States with the 19th Amendment,women-gain-the-right-to-vote-in-the-united-states-with-the-19th-amendment,1920,"[38.9072, -77.0369]",social movements & protests,Modern United States & Canada,Americas,"Susan B. Anthony, Elizabeth Cady Stanton, Alice Paul, Carrie Chapman Catt",women celebrating in front of the U.S. Capitol; suffragettes holding banners; vintage automobiles; early 20th-century fashion; American flags,"A highly detailed, photo-realistic image of Women gain the right to vote in the United States with the 19th Amendment as it might have appeared at the time. The scene includes women celebrating in front of the U.S. Capitol, suffragettes holding banners, vintage automobiles, early 20th-century fashion, and American flags, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/women-gain-the-right-to-vote-in-the-united-states-with-the-19th-amendment.jpg,3,AI-generated based on historical records,0220d5e0-1fba-423b-912f-db876cf95d0e,United States,"Washington, D.C.",U.S. Capitol,201,5,"The 19th Amendment marked a pivotal moment in U.S. history, granting women the right to vote and culminating decades of activism by suffragettes.",https://en.wikipedia.org/wiki/Nineteenth_Amendment_to_the_United_States_Constitution,7. Industrial Age
Margaret Thatcher becomes the first female Prime Minister of the UK,margaret-thatcher-becomes-the-first-female-prime-minister-of-the-uk,1979,"[51.5074, -0.1278]",foundational political moments,Cold War Europe,Europe,Margaret Thatcher,Margaret Thatcher giving a speech; British Parliament building; crowd of supporters; 1970s fashion; political banners,"A highly detailed, photo-realistic image of Margaret Thatcher becomes the first female Prime Minister of the UK as it might have appeared at the time. The scene includes Margaret Thatcher giving a speech, British Parliament building, crowd of supporters, 1970s fashion, political banners, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/margaret-thatcher-becomes-the-first-female-prime-minister-of-the-uk.jpg,3,AI-generated based on historical records,13e070c7-88a4-430a-a443-4b1c1540b708,United Kingdom,London,British Parliament,25,2,"Margaret Thatcher's election as the first female Prime Minister marked a significant moment in UK political history, symbolizing a shift in societal norms and political leadership.",https://en.wikipedia.org/wiki/Margaret_Thatcher,8. 20th Century
